Ticker,Company,Sector
A,Agilent Technologies Inc,Healthcare
AAPL,Apple Inc,Technology
ABBV,Abbvie Inc,Healthcare
ABNB,Airbnb Inc,Consumer Cyclical
ABT,Abbott Laboratories,Healthcare
ACGL,Arch Capital Group Ltd,Financial
ACN,Accenture plc,Technology
ADBE,Adobe Inc,Technology
ADI,Analog Devices Inc,Technology
ADM,Archer Daniels Midland Co,Consumer Defensive
ADP,Automatic Data Processing Inc,Technology
ADSK,Autodesk Inc,Technology
AEE,Ameren Corp,Utilities
AEP,American Electric Power Company Inc,Utilities
AES,AES Corp,Utilities
AFL,Aflac Inc,Financial
AIG,American International Group Inc,Financial
AIZ,Assurant Inc,Financial
AJG,Arthur J. Gallagher & Co,Financial
AKAM,Akamai Technologies Inc,Technology
ALB,Albemarle Corp,Basic Materials
ALGN,"Align Technology, Inc",Healthcare
ALL,Allstate Corp,Financial
ALLE,Allegion plc,Industrials
AMAT,Applied Materials Inc,Technology
AMCR,Amcor Plc,Consumer Cyclical
AMD,Advanced Micro Devices Inc,Technology
AME,Ametek Inc,Industrials
AMGN,AMGEN Inc,Healthcare
AMP,Ameriprise Financial Inc,Financial
AMT,American Tower Corp,Real Estate
AMZN,Amazon.com Inc,Consumer Cyclical
ANET,Arista Networks Inc,Technology
ANSS,Ansys Inc,Technology
AON,Aon plc,Financial
AOS,A.O. Smith Corp,Industrials
APA,APA Corporation,Energy
APD,Air Products & Chemicals Inc,Basic Materials
APH,Amphenol Corp,Technology
APO,Apollo Global Management Inc,Financial
APTV,Aptiv PLC,Consumer Cyclical
ARE,Alexandria Real Estate Equities Inc,Real Estate
ATO,Atmos Energy Corp,Utilities
AVB,Avalonbay Communities Inc,Real Estate
AVGO,Broadcom Inc,Technology
AVY,Avery Dennison Corp,Consumer Cyclical
AWK,American Water Works Co. Inc,Utilities
AXON,Axon Enterprise Inc,Industrials
AXP,American Express Co,Financial
AZO,Autozone Inc,Consumer Cyclical
BA,Boeing Co,Industrials
BAC,Bank Of America Corp,Financial
BALL,Ball Corp,Consumer Cyclical
BAX,Baxter International Inc,Healthcare
BBY,Best Buy Co. Inc,Consumer Cyclical
BDX,Becton Dickinson & Co,Healthcare
BEN,"Franklin Resources, Inc",Financial
BF-B,Brown-Forman Corp,Consumer Defensive
BG,Bunge Global SA,Consumer Defensive
BIIB,Biogen Inc,Healthcare
BK,Bank Of New York Mellon Corp,Financial
BKNG,Booking Holdings Inc,Consumer Cyclical
BKR,Baker Hughes Co,Energy
BLDR,Builders Firstsource Inc,Industrials
BLK,Blackrock Inc,Financial
BMY,Bristol-Myers Squibb Co,Healthcare
BR,"Broadridge Financial Solutions, Inc",Technology
BRK-B,Berkshire Hathaway Inc,Financial
BRO,"Brown & Brown, Inc",Financial
BSX,Boston Scientific Corp,Healthcare
BWA,BorgWarner Inc,Consumer Cyclical
BX,Blackstone Inc,Financial
BXP,BXP Inc,Real Estate
C,Citigroup Inc,Financial
CAG,Conagra Brands Inc,Consumer Defensive
CAH,"Cardinal Health, Inc",Healthcare
CARR,Carrier Global Corp,Industrials
CAT,Caterpillar Inc,Industrials
CB,Chubb Limited,Financial
CBOE,Cboe Global Markets Inc,Financial
CBRE,CBRE Group Inc,Real Estate
CCI,Crown Castle Inc,Real Estate
CCL,Carnival Corp,Consumer Cyclical
CDNS,"Cadence Design Systems, Inc",Technology
CDW,CDW Corp,Technology
CE,Celanese Corp,Basic Materials
CEG,Constellation Energy Corporation,Utilities
CF,CF Industries Holdings Inc,Basic Materials
CFG,Citizens Financial Group Inc,Financial
CHD,"Church & Dwight Co., Inc",Consumer Defensive
